Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afganistán,AFG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979344507.8,2023034713,2143951791,2480214114,2435844906,2485331046,2580623924,2587774667,2529865268,2596917266,2596050086,2751986639,2678760424,2661685957,3040072312,3555784340,3393247242,
,AFW,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7288778066,8591895991,9000344459,10059207811,10571384638,11292755788,11502043062,10545818708,9948274153,10784076260,10673241870,9763465564,8776917205,9119036719,9114598189,9801188918,12238371900,9905180986,11941803691,15596027679,20277281253,26795572705,34679553283,36165323895,43350110779,45924334306,48771532654,57434097528,58745881699,61791490177,62292159790,65387403243,66086652745,60106552628,
Albania,ALB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511485756.3,632621789.2,786033591.2,883115193.8,458862737.5,491994448.6,516476961.3,623592791.8,773092900.6,1122051223,1154309753,1180426822,1550382968,1603744699,2126166749,2517100833,2966604308,4256899003,4605163642,5436572732,6484194296,7384475900,8647046116,8512452310,8447046911,8516222980,9801454504,9651086367,9274545229,10477366101,11054877742,10454989642,
Andorra,AND,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,5893191434,6353903965,6893803268,7374621351,7798525658,7901576053,9501611015,11675739426,13507657038,21176835027,27322463713,35809463188,43787004262,46108319455,49060805833,51156733946,52688148844,58722673497,59015245404,65538413075,62477601312,65672366930,68605638952,64681387080,75094061336,98773122013,1.11E+11,1.28E+11,1.42E+11,1.52E+11,1.50E+11,1.53E+11,1.48E+11,1.63E+11,1.68E+11,1.31E+11,1.19E+11,1.21E+11,1.30E+11,1.34E+11,1.27E+11,1.43E+11,1.40E+11,1.50E+11,1.54E+11,1.77E+11,1.82E+11,2.26E+11,2.78E+11,2.81E+11,2.56E+11,2.46E+11,2.48E+11,
Armenia,ARM,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133922025.2,214328549.4,370656928,520544050.4,638485619.5,804242112.9,1022596080,1018418174,1410424531,1719549290,1996130970,2107914571,1969824793,2138883503,3081934925,3612490093,4934959250,6307170669,7410792665,7640566516,8681090391,8555656187,8831021221,9855623087,10228295739,10725730269,11884488146,12599980396,13801512363,14715170888,
Samoa Americana,ASM,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaiyán,AZE,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35540000,112814844.4,320987667.6,438309868.3,508060653.1,706603152.3,1289063609,1585215993,1519801454,1701647122,1959261794,2192577447,2270055653,2820389404,3924409214,4522619511,4579733732,7285505104,7722133655,10856678607,10596759022,12117384321,13337861420,14608834694,15439551135,16583157328,16539074382,16478249028,15647994867,15277053818,
Burundi,BDI,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,14970400.9,13628499,6895385.6,7780758.4,9437482,19378709.7,22365684.2,47221848.4,74679956.5,136189377,165719681.3,178613654.8,227431810.4,307726678.6,348008143.1,455096618.9,570430014.5,769586468.4,800694146.9,888845816.1,906936375.2,963475598.4,1026584700,1065645817,1127404969,1161951393,1130746660,1068957656,1121825244,1153732064,1125869261,1093536451,1232214637,1348337839,1357933155,1287893069,1371901890,1409730477,1390288829,607188101.8,620881162,605057004.8,663926347.2,680219691.9,691128126.4,626941607.8,603735776.7,607511362.7,585666019,625368017.3,662467566.7,975830735.5,954289431.9,
Bélgica,BEL,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,43206645.9,51050106,47315754,90483938.2,108808916.9,119207923.7,141222202.2,212376218.6,283904950.1,453818384.5,474871020.5,543224056.1,758283071.1,798438969.5,762600512.6,902878842.8,1038615913,1244496822,1170205810,1070152455,1110830136,1149708001,1198996390,1270610522,1382104404,1396447483,1377472572,1411114792,1445070720,1498651602,1408369541,1478686367,1617365355,1483862656,1618065355,1557801171,660190318.4,902675890.4,998180197.5,1325336572,1596498355,1864410779,1673174365,1997570045,2041339869,2170545281,2258154533,2798768709,3589620964,3919943010,5259325040,6821309315,7307162249,
Burkina Faso,BFA,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,20789505.9,23598002.3,20015915.3,31067227.5,47354443.4,62537911.1,85306252,164285524.9,262707189,295034801.5,330416655.7,328158612.3,351832578.4,397717113.7,409962570.8,511100955.5,639696853.1,827502134.8,845249596.1,717259802.1,833673417.3,967441445.2,1039802412,1118907235,1135033979,1274258080,1301463551,1307801527,1470373376,1608245529,1446330172,1516006603,1564526410,1757847852,1944506312,2011339006,1142927905,1965861233,2669318924,3715932439,4799877861,5973120089,7434757337,8941849034,10298023833,12597759899,10248405382,12768155916,10621434778,9156789203,9755974315,10295692321,10380668432,
Bangladesh,BGD,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,146504255,497826100.3,1257484131,1680485424,1993989052,2331728887,2820088627,2967069236,3802228595,4209310811,4940329805,5346293426,5541814231,6530064193,7913829648,9737967442,10275887393,10701050529,12291780362,12997665569,13427954472,14125214057,15490545905,15734744113,15169074223,14257776106,15507392996,16449663349,15600564697,14978802401,16687587182,18440377575,19714073692,18503086016,20160932717,21523544177,23346917708,25377795050,26571755072,27046084648,29155976742,32454687017,35271839355,38704937144,41569252898,51068283465,57125459321,62468325029,73550857817,91477590072,97011656308,
Bulgaria,BGR,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,772737948,1313089665,1738593873,2583927137,3851537193,5866004143,8265581747,8943895641,10137085438,10889618418,11741672281,11838561987,12177634745,9828532996,10378823642,10368413942,11099448178,11404629615,11794851857,12008623065,11274814332,12313486730,14259733783,16620274378,18507353592,28007279112,43822454675,53067247242,55682965449,50697349715,47739502726,51428607356,51652240788,47074927807,40378595625,39994027753,40989144704,40103456193,40501402415,46867045227,44946801414,47206483345,
Bahrein,BHR,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia y Herzegovina,BIH,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408825764,2791207815,2666165629,3166667573,4484507658,5517180309,7007652583,8616906730,11568599661,13108605425,14005774333,14289296948,12345114957,12998206081,13780032960,13082372491,11614129610,11630871770,13028529320,12935844520,12702643574,13865863815,13026483950,12884791161,
Belarús,BLR,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968283686.2,1296124124,1693743257,1958924253,2082345263,2386480834,2703253742,2620196263,2798732257,3399007710,3779551001,4601438650,5300175947,6562099700,12526106964,15152844791,22078685410,28412146649,33932546341,33755733316,39573469218,40013829088,38257921211,37515947698,39584221158,38767563257,40734118642,41792363746,41653683788,39794026169,
Belice,BLZ,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,4084800,4338910,5068965.7,4825894.4,5274044.5,4827053,9165985.1,20669097.4,33312767.1,71830514.1,63043521.2,60228528.7,69805336.4,100638089.8,98761894.3,118125320.2,121873478.7,137196602.4,132277165.4,137214241,142750749.7,161781662.7,180961169,194553505.8,198665305,255157967.5,281542136.1,450090458.6,333460184.2,416579339.1,629903800.8,721979991.7,849529037.9,1061730342,965854392.5,1023162269,1054232126,1075497699,1275782808,1291168231,1303876871,1274688747,1196357128,1248681028,1286357300,1279832151,1290298703,1338924309,1348898447,1377529087,1526004211,1450204243,1465237940,
Bermudas,BMU,"Deuda externa acumulada, total (DOD, US$ a precios actuales)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
